1577415975588|67|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577416024419|10|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577416024436|15|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=?|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=1
1577416024455|17|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=?|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=1
1577417004596|59|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577417008163|49|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577418385727|9|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577418386213|63|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577418386400|83|commit|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai||
1577418388316|307|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577418388708|72|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577418388768|9|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=?|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=1
1577418388980|25|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=?|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=1
1577418389064|5|commit|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai||
1577418389378|20|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577418389391|9|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=?|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=1
1577418389405|9|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=?|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=1
1577418434545|125|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577418434828|169|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577418434917|88|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=?|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=1
1577418435022|103|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=?|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=1
1577418435210|179|commit|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai||
1577418435380|64|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
1577418435518|137|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=?|select roles0_.user_id as user_id1_6_0_, roles0_.role_id as role_id2_6_0_, role1_.id as id1_3_1_, role1_.is_deleted as is_delet2_3_1_, role1_.gmt_create as gmt_crea3_3_1_, role1_.gmt_modified as gmt_modi4_3_1_, role1_.parent_id as parent_i5_3_1_, role1_.role_code as role_cod6_3_1_, role1_.role_desc as role_des7_3_1_, role1_.role_name as role_nam8_3_1_ from user_role roles0_ inner join role role1_ on roles0_.role_id=role1_.id where roles0_.user_id=1
1577418435631|110|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=?|select menus0_.role_id as role_id1_4_0_, menus0_.menu_id as menu_id2_4_0_, menu1_.id as id1_2_1_, menu1_.is_deleted as is_delet2_2_1_, menu1_.gmt_create as gmt_crea3_2_1_, menu1_.gmt_modified as gmt_modi4_2_1_, menu1_.icon as icon5_2_1_, menu1_.menu_code as menu_cod6_2_1_, menu1_.menu_name as menu_nam7_2_1_, menu1_.is_menu_or_btn as is_menu_8_2_1_, menu1_.parent_id as parent_i9_2_1_, menu1_.url as url10_2_1_ from role_menu menus0_ inner join menu menu1_ on menus0_.menu_id=menu1_.id where menus0_.role_id=1
1577418439303|102|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1577418439480|104|statement|connection 0|url jdbc:p6spy:mysql://120.92.140.55:3306/sky-boot?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like ? escape ?|select user0_.id as id1_5_, user0_.is_deleted as is_delet2_5_, user0_.gmt_create as gmt_crea3_5_, user0_.gmt_modified as gmt_modi4_5_, user0_.account as account5_5_, user0_.address as address6_5_, user0_.cname as cname7_5_, user0_.dept_id as dept_id12_5_, user0_.email as email8_5_, user0_.ename as ename9_5_, user0_.password as passwor10_5_, user0_.phone as phone11_5_ from user user0_ where user0_.account like '%kenan' escape '\'
